Date,Site,Type,Star_grass,Thin_grass,Thick_grass,Wheat_grass,Dead_grass,Sea_rocket,Purselane,Goats_foot,Bay_cedar,Sea_lavander ,Water_lily,Sand,Other_plant,Dead_matter,Waxy,Squash,Sargasso,Spikey_grass
11/7/21,Beach Dune,Sargasso,3,13,0,30,48,0,0,0,0,0,0,0,6,0,0,0,0,0
11/7/21,Beach Dune,Sargasso,8,11,0,0,0,0,0,2,0,0,0,0,1,65,13,0,0,0
11/7/21,Beach Dune,Sargasso,25,0,0,1,0,0,0,0,0,0,0,21,5,48,0,0,0,0
11/7/21,Beach Dune,Sargasso,16,14,0,3,0,0,0,0,0,0,0,0,0,67,0,0,0,0
11/7/21,Beach Dune,Sargasso,21,0,0,13,66,0,0,0,0,0,0,0,0,0,0,0,0,0
11/7/21,Beach Dune,Control,86,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
11/7/21,Beach Dune,Control,50,0,0,0,42,0,0,0,0,0,0,7,1,0,0,0,0,0
11/7/21,Beach Dune,Control,38,0,0,0,48,0,0,0,0,0,0,7,3,0,0,0,0,3
11/7/21,Beach Dune,Control,1,51,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
11/8/21,Beach Dune,Control,0,19,0,26,49,0,0,0,0,0,0,0,0,0,6,0,0,0
11/8/02,Jungle,Sargasso,0,0,0,0,0,0,0,53,0,0,0,11,0,2,0,9,25,0
11/8/02,Jungle,Sargasso,0,0,0,0,0,0,0,0,0,0,0,11,0,17,0,55,17,0
11/8/02,Jungle,Sargasso,0,0,0,0,0,0,0,15,0,0,0,23,0,17,0,37,7,0
11/8/02,Jungle,Control,61,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
11/8/02,Jungle,Control,1,0,0,0,0,0,0,50,0,0,0,8,2,39,0,0,0,0
11/8/02,Jungle,Control,56,0,0,0,32,0,0,12,0,0,0,0,0,0,0,0,0,0
